SampleID	Treatment	Year	Treatyear
1	MC	1	MC_1
2	MC	1	MC_1
4	MC	1	MC_1
5	MC	1	MC_1
7	MC	1	MC_1
8	MC	1	MC_1
10	MT	1	MT_1
11	MT	1	MT_1
12	MT	1	MT_1
13	MT	1	MT_1
14	MT	1	MT_1
15	MT	1	MT_1
16	MT	1	MT_1
17	MT	1	MT_1
18	MT	1	MT_1
19	MO	1	MO_1
20	MO	1	MO_1
21	MO	1	MO_1
22	MO	1	MO_1
23	MO	1	MO_1
24	MO	1	MO_1
25	MO	1	MO_1
26	MO	1	MO_1
27	MO	1	MO_1
28	MN	1	MN_1
29	MN	1	MN_1
30	MN	1	MN_1
31	MN	1	MN_1
32	MN	1	MN_1
33	MN	1	MN_1
34	MN	1	MN_1
35	MN	1	MN_1
36	MN	1	MN_1
37	MC	2	MC_2
38	MC	2	MC_2
39	MC	2	MC_2
40	MC	2	MC_2
41	MC	2	MC_2
42	MC	2	MC_2
43	MC	2	MC_2
44	MC	2	MC_2
45	MC	2	MC_2
46	MT	2	MT_2
47	MT	2	MT_2
48	MT	2	MT_2
49	MT	2	MT_2
50	MT	2	MT_2
51	MT	2	MT_2
52	MT	2	MT_2
53	MT	2	MT_2
54	MT	2	MT_2
55	MO	2	MO_2
56	MO	2	MO_2
57	MO	2	MO_2
58	MO	2	MO_2
59	MO	2	MO_2
60	MO	2	MO_2
61	MO	2	MO_2
62	MO	2	MO_2
63	MO	2	MO_2
64	MN	2	MN_2
65	MN	2	MN_2
66	MN	2	MN_2
67	MN	2	MN_2
68	MN	2	MN_2
69	MN	2	MN_2
70	MN	2	MN_2
71	MN	2	MN_2
72	MN	2	MN_2
