S_Name	S_1	S_10	S_11	S_12	S_13	S_14	S_15	S_16	S_17	S_18	S_19	S_2	S_20	S_21	S_22	S_23	S_24	S_25	S_26	S_27	S_28	S_29	S_30	S_31	S_32	S_33	S_34	S_35	S_36	S_37	S_38	S_39	S_4	S_40	S_41	S_42	S_43	S_44	S_45	S_46	S_47	S_48	S_49	S_5	S_50	S_51	S_52	S_53	S_54	S_55	S_56	S_57	S_58	S_59	S_60	S_61	S_62	S_63	S_64	S_65	S_66	S_67	S_68	S_69	S_7	S_70	S_71	S_72	S_8
ASV100	0	8	0	0	0	11	14	0	0	0	0	0	0	10	0	0	0	0	11	13	0	0	0	0	0	0	0	15	0	0	0	0	0	0	17	0	0	18	0	0	0	0	26	0	14	0	0	18	0	14	0	0	13	0	0	0	13	0	0	12	0	0	0	0	0	0	0	0	0
ASV1000	0	0	0	8	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	15	0	23	0	8	13	27	0	0	0	0	34	9	12	0	12	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	5
ASV10049	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	32	41	0	0	0	0	30	39	33	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	63	94	61	36	0	0	0	0	0	50	75	0	0
ASV10054	0	0	42	35	13	26	0	0	0	0	0	24	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	44	60	25	63	35	49	0	40	97	56	32	0	27	0	61	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	14
ASV10066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	33	0	66	0	31	36	21	42	0	0	0	0	14	38	0	0	0	0	34	0	0	0	0	0	0	0	0	48	60	47	0	0	23	0	34	0	31	0
ASV10070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	42	0	0	0	17	0	20	29	0	39	0	23	35	23	53	27	0	0	0	0	0	41	0	54	0	49	0
ASV10084	0	21	0	0	9	0	0	9	0	0	0	0	15	0	0	25	17	0	16	6	0	7	15	9	12	16	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	21	0	0	0	0	30	33	11	12	27	33	26	0	12	12	32	0
ASV10086	0	0	0	0	0	0	0	12	0	0	0	0	17	15	5	11	0	13	11	0	0	0	0	0	15	0	10	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	17	0	0	22	17	0	0	19	0	13	19	9	0	0	0	0	0	0	26	0	0	0	0	0
ASV10087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	16	23	0	18	17	15	18	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	58	50	67	27	65	0	33	35	24	0
ASV10088	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	8	8	16	9	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	25	12	0	12	22	16	0	22	0	11	0
ASV101	0	0	0	0	38	0	24	49	0	19	0	0	0	0	0	0	38	33	18	46	20	0	0	0	0	0	28	14	24	0	0	0	0	0	0	0	0	0	0	23	0	0	49	0	0	48	40	33	52	26	35	42	31	53	58	35	36	0	0	0	0	0	40	0	0	0	38	0	0
ASV10139	0	11	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	29	22	52	59	46	0	29	0	0	0	0	0	55	0	0	0	20	0	0	12	31	0	0	0	0	0	0	30	15	0	0	0	0	0	0
ASV10145	10	0	0	0	21	22	13	13	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	31	20	11	25	0	111	0	15	0	0	17	28	27	21	0	0	21	74	37	0	0	0	0	18	0	0	0	0	19	34	32	0	0	0	0	0	0	0	0
ASV10179	0	22	18	16	26	14	42	19	15	0	38	0	52	28	19	66	47	98	72	72	133	93	135	120	118	99	80	83	102	0	0	0	0	0	10	0	0	0	0	19	33	0	21	0	13	41	26	34	28	40	28	34	91	54	33	42	16	50	112	121	82	134	114	126	0	68	73	63	0
ASV10184	14	37	29	46	30	24	39	50	31	53	0	30	24	25	0	20	0	0	26	22	0	0	0	0	0	0	0	0	0	27	17	0	23	0	0	0	0	28	0	0	20	0	0	0	0	26	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
ASV10185	0	0	18	16	29	22	35	37	29	34	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0	0	0	24	12	0	19	0	0	21	34	33	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ASV10186	0	0	0	0	0	0	0	0	0	0	20	0	43	37	35	36	34	52	47	37	24	19	26	17	13	13	22	40	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	29	21	53	0	59	39	22	0	0	27	18	18	11	21	0	16	0	34	0
ASV10188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	23	0	56	57	54	51	51	33	31	52	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	25	38	0	27	35	49	0	27	29	35	0
ASV10194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	59	87	45	62	66	59	44	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	31	0	0	34	38	25	67	0	44	0
ASV10201	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	35	45	62	0	46	56	62	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	40	31	69	65	0	0	56	45	0	0
ASV10202	0	0	0	54	0	25	0	38	36	52	71	0	45	37	0	0	93	69	83	69	0	0	0	0	0	0	0	0	0	0	6	0	0	0	30	0	0	0	27	56	0	26	65	0	56	55	53	0	41	30	41	62	61	97	108	109	54	60	0	0	0	0	0	46	0	0	0	97	0
ASV10204	0	57	66	0	47	0	0	70	0	0	72	0	113	36	0	80	82	168	190	114	152	284	187	178	231	159	163	227	254	0	0	0	0	0	0	0	0	0	0	0	57	34	68	0	0	73	64	0	18	89	57	100	133	72	62	150	77	73	138	149	218	236	201	426	67	169	108	207	0
ASV10205	0	48	0	0	0	36	0	45	42	0	74	0	84	53	68	110	108	92	105	158	57	57	95	60	82	104	45	34	78	0	0	0	36	0	0	0	0	0	0	0	0	0	0	32	0	46	0	0	0	0	41	0	48	60	72	77	59	0	0	51	51	48	75	51	0	50	34	0	20
ASV10207	0	72	106	133	83	47	114	101	56	165	41	0	0	40	39	41	68	48	51	105	0	0	0	0	0	0	0	0	0	32	42	0	0	0	38	0	0	44	0	102	35	0	173	0	110	132	75	35	97	44	0	80	45	67	80	41	27	65	0	0	0	0	0	0	0	0	0	0	0
ASV10212	18	31	79	77	81	61	79	80	69	90	37	0	64	0	0	103	48	85	100	61	122	106	140	92	98	123	158	181	199	0	0	0	35	0	40	0	0	0	0	0	46	37	93	31	127	111	34	51	42	54	0	47	124	53	44	55	28	45	91	82	74	186	185	204	59	132	109	120	0
ASV10218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	39	39	34	29	0	37	44	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	29	32	49	29	61	12	34	0	43	0
ASV10225	28	0	0	0	0	41	21	0	21	0	0	48	0	33	21	0	0	34	33	0	0	0	0	0	0	0	0	0	0	0	0	45	17	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	16
ASV10228	25	0	0	0	0	0	28	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	43	0	27	44	36	0	69	0	37	0	0	0	46	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	24
